"Name","Created","Runtime","End Time","Notes","State","Tags","mws_batch_size","seed","TC","DKL","MI","analytical_cond_kl","joint_entropy","logpx","train_batch_size","MIG","batch_size"
"mws-bs32_seed3","2026-01-09T09:30:43.000Z","2665","2026-01-09T10:15:08.000Z","2","finished","decoupled","32","3","0.5790176391601562","0.19232022762298584","9.758360862731934","10.52969741821289","13.800647735595703","-85.0334243774414","1024","0.06007171422243118",""
"mws-bs1024_seed2","2026-01-09T08:43:10.000Z","2849","2026-01-09T09:30:39.000Z","2","finished","decoupled","1024","2","0.14882278442382812","0.09928476810455322","8.373295783996582","8.621403694152832","14.049396514892578","-100.83583068847656","1024","0.12837417423725128",""
"mws-bs512_seed2","2026-01-09T07:55:30.000Z","2834","2026-01-09T08:42:44.000Z","2","finished","decoupled","512","2","0.17345333099365234","0.06970608234405518","8.234150886535645","8.477310180664062","14.073262214660645","-102.6437530517578","1024","0.1934659481048584",""
"mws-bs256_seed2","2026-01-09T07:11:17.000Z","2639","2026-01-09T07:55:16.000Z","2","finished","decoupled","256","2","0.12465095520019533","0.24568426609039307","8.299514770507812","8.669851303100586","13.800657272338867","-102.68098449707033","1024","0.30954816937446594",""
"mws-bs64_seed2","2026-01-09T06:24:53.000Z","2771","2026-01-09T07:11:04.000Z","2","finished","decoupled","64","2","0.20969772338867188","0.11647236347198486","8.273380279541016","8.599550247192383","14.010091781616213","-104.10846710205078","1024","0.15155412256717682",""
"mws-bs32_seed2","2026-01-09T05:38:32.000Z","2760","2026-01-09T06:24:32.000Z","2","finished","decoupled","32","2","0.29978179931640625","0.707069993019104","7.705743789672852","8.712594985961914","13.02965259552002","-140.97523498535156","1024","0.22154414653778076",""
"mws-bs1024_seed1","2026-01-09T04:52:26.000Z","2753","2026-01-09T05:38:19.000Z","2","finished","decoupled","1024","1","0.15865135192871094","0.18063056468963623","8.404414176940918","8.743696212768555","14.019204139709473","-102.70841217041016","1024","0.21993409097194672",""
"mws-bs512_seed1","2026-01-09T04:07:07.000Z","2715","2026-01-09T04:52:22.000Z","2","finished","decoupled","512","1","0.16252708435058594","0.10266458988189696","8.382264137268066","8.647455215454102","14.06243896484375","-100.2377700805664","1024","0.2152504026889801",""
"mws-bs256_seed1","2026-01-09T03:22:22.000Z","2664","2026-01-09T04:06:46.000Z","2","finished","decoupled","256","1","0.3753347396850586","0.4523500204086304","9.58103847503662","10.408721923828123","13.549019813537598","-83.2081298828125","1024","0.25347134470939636",""
"mws-bs64_seed1","2026-01-09T02:34:11.000Z","2870","2026-01-09T03:22:01.000Z","2","finished","decoupled","64","1","0.40763282775878906","0.3299297094345093","9.602837562561035","10.340399742126465","13.642218589782717","-85.67193603515625","1024","0.1674434095621109",""
"mws-bs32_seed1","2026-01-09T01:50:00.000Z","2639","2026-01-09T02:33:59.000Z","2","finished","decoupled","32","1","0.2293672561645508","0.19886600971221924","8.798540115356445","9.226773262023926","13.918598175048828","-102.14567565917967","1024","0.1240946650505066",""
"mws-bs1024_seed0","2026-01-09T01:04:14.000Z","2724","2026-01-09T01:49:38.000Z","2","finished","decoupled","1024","0","0.08492851257324219","0.21042513847351071","8.789365768432617","9.084718704223633","14.12038230895996","-92.80815887451172","1024","0.4754292964935303",""
"mws-bs512_seed0","2026-01-09T00:16:26.000Z","2856","2026-01-09T01:04:02.000Z","2","finished","decoupled","512","0","0.09139060974121094","0.23955631256103516","8.6127290725708","8.943675994873047","14.023761749267578","-94.91754913330078","1024","0.48933643102645874",""
"mws-bs256_seed0","2026-01-08T23:29:05.000Z","2836","2026-01-09T00:16:21.000Z","2","finished","decoupled","256","0","0.10081005096435548","0.1638699769973755","8.272204399108887","8.536884307861328","14.02546215057373","-100.33782958984376","1024","0.3921469449996948",""
"mws-bs64_seed0","2026-01-08T22:42:05.000Z","2794","2026-01-08T23:28:39.000Z","2","finished","decoupled","64","0","0.15724849700927734","0.2088273763656616","8.337865829467773","8.70394229888916","13.958974838256836","-103.4762954711914","1024","0.14334793388843536",""
"mws-bs32_seed0","2026-01-08T21:55:28.000Z","2785","2026-01-08T22:41:53.000Z","2","finished","decoupled","32","0","0.22172164916992188","0.16306769847869873","8.742051124572754","9.126840591430664","13.944255828857422","-101.1754150390625","1024","0.150746151804924",""
